CGTN英语,rtp://239.3.1.215:4220
Anshun Comprehensive News Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
CCTV-4K,rtp://239.3.1.245:2000
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
BRTV Kaku Childrens Channel,http://223.111.191.105/downflv.brtvcloud.com/kkkkasd/winfr.m3u8
Bingtuan Satellite TV,http://49.113.179.174:4022/udp/238.125.4.13:5140
中国教育,rtp://239.3.1.57:8152
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K
BRTV Science & Education Channel,http://49.113.179.174:4022/udp/238.125.3.121:5140
Bread TV面包台 (720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
中国交通,rtp://239.3.1.188:8001
深圳卫视4K,#http://101.35.240.114:88/live.php?id=深圳卫视
BRTV 北京卫视 [Not 24/7],http://ivi.bupt.edu.cn/hls/btv1.m3u8
BRTV Kaku Childrens Channel,http://49.113.179.174:4022/udp/238.125.2.216:5140
睛彩竞技,rtp://239.3.1.125:8001
山东卫视4K,http://101.35.240.114:88/live.php?id=山东卫视4K
BRTV 北京卫视,http://118.81.195.79:9003/hls/20/index.m3u8
BRTV Science & Education Channel,http://49.113.179.174:4022/udp/238.125.3.121:5140
睛彩篮球,rtp://239.3.1.126:8001
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
CGTN (1080p),https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
BRTV 北京卫视 [Not 24/7],http://ivi.bupt.edu.cn/hls/btv1.m3u8
睛彩青少,rtp://239.3.1.127:8001
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
CGTN (1080p),https://english-livebkali.cgtn.com/live/encgtn.m3u8
CCTV+ 1 (600p) [Not 24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
睛彩广场舞,rtp://239.3.1.128:8001
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
CGTN,https://dash4.antik.sk/live/test_cgtn/playlist.m3u8
CCTV+ 2 (600p) [Not 24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
爱上4K,rtp://239.3.1.236:2000
CCTV-兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CGTN Arabic,https://dash3.antik.sk/live/test_cgtn_arb_tizen/playlist.m3u8
Channel Law,http://49.113.179.174:4022/udp/238.125.2.201:5140
4K超清,rtp://239.3.1.249:8001
CCTV-世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CGTN Documentary (1080p),https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
Channel Max,http://180.213.174.225:9901/tsfile/live/1037_1.m3u8?authid=0&key=txiptv&playlive=1
城市剧场,rtp://239.3.1.67:4120
军旅剧场,rtp://239.3.1.68:4120
古装剧场,rtp://239.3.1.69:4120
CGTN Documentary,https://dash3.antik.sk/live/test_cgtn_doc/playlist.m3u8
Channel Tea,http://180.213.174.225:9901/tsfile/live/1041_1.m3u8?authid=0&key=txiptv&playlive=1
延边卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227045/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eq0D3NdTUN7FuRzr8eJsbQA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
康巴卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227027/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkHMvBpWz4rccMxNvSRekpQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
精选高清,rtp://239.3.1.74:4120
CGTN French,https://dash4.antik.sk/live/test_cgtn_fra_tizen/playlist.m3u8
CHC Action,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8?authid=0&key=txiptv&playlive=1
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
武侠剧场,rtp://239.3.1.90:4120
CGTN Russian,https://dash3.antik.sk/live/test_cgtn_rus_tizen/playlist.m3u8
CHC Home Theater,http://180.213.174.225:9901/tsfile/live/1030_1.m3u8?authid=0&key=txiptv&playlive=1
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
CCTV-风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
喜剧影院,rtp://239.3.1.91:4120
,动作影院,rtp://239.3.1.92:4120
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
CCTV世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
家庭影院,rtp://239.3.1.93:4120
星影高清,rtp://239.3.1.94:4120
CGTN Spanish,https://dash4.antik.sk/live/test_cgtn_esp_tizen/playlist.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
CCTV-风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
光影高清,rtp://239.3.1.84:4120
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=b4373417a82ed64e52b0982a66da8df2&txTime=771E8800
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV-风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
动画高清,rtp://239.3.1.80:4120
内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
City Theater Channel,http://49.113.179.174:4022/udp/238.125.1.60:5140
Channel Law,http://49.113.179.174:4022/udp/238.125.2.201:5140
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CCTV-第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
内蒙少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
内蒙农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
Documentary Humanities Channel,http://49.113.179.174:4022/udp/238.125.3.135:5140
DOX Surround,http://180.213.174.225:9901/tsfile/live/1032_1.m3u8?authid=0&key=txiptv&playlive=1
DOX Yaqu,http://180.213.174.225:9901/tsfile/live/1033_1.m3u8?authid=0&key=txiptv&playlive=1
Channel Max,http://180.213.174.225:9901/tsfile/live/1037_1.m3u8?authid=0&key=txiptv&playlive=1
Channel Tea,http://180.213.174.225:9901/tsfile/live/1041_1.m3u8?authid=0&key=txiptv&playlive=1
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV女性时尚,http://39.152.103.17:8089/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV-怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV-文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV-女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV-卫生健康,http://nas.hssvm.com:8888/udp/225.1.1.210:5002
CCTV-央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV-央视高网,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
DOX Yijia,http://180.213.174.225:9901/tsfile/live/1031_1.m3u8?authid=0&key=txiptv&playlive=1
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
CHC Action,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8?authid=0&key=txiptv&playlive=1
经典电影,rtp://239.3.1.195:9024
group-title="数字" zz-definition="HD",重温经典,rtp://239.3.1.25:8001
CCTV-电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
Dragon TV International (360p),http://210.210.155.37/x6bnqe/s/s29/index.m3u8
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
CHC Home Theater,http://180.213.174.225:9901/tsfile/live/1030_1.m3u8?authid=0&key=txiptv&playlive=1
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
热播剧场,rtp://239.3.1.194:9020
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
Ecology & Environment TV,http://49.113.179.174:4022/udp/238.125.2.175:5140
Game Channel,http://49.113.179.174:4022/udp/238.125.1.36:5140
呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
魅力时尚,rtp://239.3.1.196:9012
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
Golden Eagle Cartoon,http://1.24.190.98:10080/hls/51/index.m3u8
Guangzhou TV,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
Harbin Movie Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
Home Plus,https://homeplushls.wns.live/hls/stream.m3u8
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
CETV-1 综合教育,http://www.lizhinas.top:1009/rtp/239.252.220.198:5140
CETV-2 空中课堂,http://www.lizhinas.top:1009/rtp/239.252.219.73:5140
Hunan Entertainment Channel,http://1732e975z9.zicp.fun:8082/hls/20/index.m3u8
CCTV怀旧剧场,http://61.184.46.85:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://hmfs.f3322.net:3388/hls/21/index.m3u8
CETV-3 教育服务,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226722/1.m3u8
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
少儿动画,rtp://239.3.1.199:9000
Hunan Ping Yu,http://49.113.179.174:4022/udp/238.125.5.102:5140
City Theater Channel,http://49.113.179.174:4022/udp/238.125.1.60:5140
CCTV第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CETV-4 职业教育,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/1.m3u8
巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
